tweet_id,created_at,text
920364378368757760,2017-10-17 19:02:22,b'#bestintheworld #niece \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x91\x86\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x89\xf0\x9f\x8f\xbb\xf0\x9f\x91\x88\xf0\x9f\x8f\xbb\xf0\x9f\x98\x98 https://t.co/gRHTtEieqa'
919701849204195328,2017-10-15 23:09:42,b'A veces cuando marcas tu cuerpo es por la simple raz\xc3\xb3n de decirle al\xe2\x80\xa6 https://t.co/oRIIRNfO3m'
917326448385511424,2017-10-09 09:50:43,b'Pedacito de felicidad! #baby #thebestuncle #1sem #iloveher \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x98\x8d\xf0\x9f\x98\x98 https://t.co/kwYjaRZwrS'
917164977827360768,2017-10-08 23:09:05,b'Cuando te dicen voltea discretamente y comienzas a bailar para\xe2\x80\xa6 https://t.co/dViwuhomSE'
916919679565881345,2017-10-08 06:54:21,b'Porque siempre entre amigos todo sabe mejor!!! #friends #pusnomas\xe2\x80\xa6 https://t.co/KpHAXDnusm'
916491125912768512,2017-10-07 02:31:26,b'Estela!!! Eres la \xc3\xbanica que me entiende!! #hahahah \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 #stellaartois\xe2\x80\xa6 https://t.co/aSknLjauQI'
915713774778281985,2017-10-04 23:02:31,b'\xc3\x89l es el abuelo m\xc3\xa1s feliz del mundo!! #welcome #AnaPaulina\xe2\x80\xa6 https://t.co/cPuzZw4VuA'
915423008260423681,2017-10-04 03:47:07,"b'RH TEAM #matehuala #amigos #sundayfun #work #DRX en Matehuala, San\xe2\x80\xa6 https://t.co/poQO293E4u'"
913925707167883264,2017-09-30 00:37:23,"b'Nunca pares, nunca te conformes, hasta que lo bueno sea mejor y lo\xe2\x80\xa6 https://t.co/VWXxiz46Ru'"
913406790901030912,2017-09-28 14:15:23,"b'No te da\xc3\xb1a lo que te hace falta, sino la creencia de que lo\xe2\x80\xa6 https://t.co/DQRwbbNp6V'"
911406754470219781,2017-09-23 01:47:58,b'\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb\xf0\x9f\x87\xb2\xf0\x9f\x87\xbd#M\xc3\xa9xico #unsoldadoencadahijotedio https://t.co/lXY1InvtoO'
908559059325820928,2017-09-15 05:12:14,b'Bye bye bye \xf0\x9f\x91\x8b\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8b\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8b\xf0\x9f\x8f\xbb#seeyou #nomore #changestyle https://t.co/YrUrUK0h9K'
906949133969145856,2017-09-10 18:34:58,b'Domingo de viaje express!! #trip #cuais #comidita #rancho #alberca https://t.co/PZ6REuVbl6'
